Hour,Minute,2024-02-26,2024-02-27,2024-02-28,2024-02-29,Time
09,30,24.6671009063721,31.6578006744385,31.9545993804932,29.8407001495361,9.5
09,31,25.1200008392334,32.3698997497559,32.5390014648438,29.8999996185303,9.51666666666667
09,32,25.077600479126,32.0279998779297,31.6800003051758,30.5533008575439,9.53333333333333
09,33,25.3775005340576,32.2000007629395,31.3022994995117,30.2399997711182,9.55
09,34,25.3211994171143,32.6800003051758,31.4799995422363,30.0200004577637,9.56666666666667
09,35,25.4150009155273,32.4300003051758,31.4500007629395,29.941499710083,9.58333333333333
09,36,25.4599990844727,32.2999992370605,31.9200000762939,30.2399997711182,9.6
09,37,25.7024002075195,32.7099990844727,31.8990993499756,30.3379993438721,9.61666666666667
09,38,25.6455993652344,32.564998626709,31.7999992370605,30.1000003814697,9.63333333333333
09,39,25.7000007629395,31.9622993469238,31.5699996948242,30.220100402832,9.65
09,40,25.7516994476318,31.519100189209,31.5599994659424,30.1299991607666,9.66666666666667
09,41,25.9850006103516,31.4599990844727,31.9799995422363,29.3850002288818,9.68333333333333
09,42,26.0200004577637,31.7099990844727,32.0200004577637,29.4918994903564,9.7
09,43,26.0708999633789,31.8139991760254,31.7999992370605,29.1749992370605,9.71666666666667
09,44,26.1089000701904,31.1599998474121,32,29.2800006866455,9.73333333333333
09,45,26.2099990844727,30.8801002502441,31.7399005889893,29.0400009155273,9.75
09,46,26.1840000152588,31.1299991607666,31.6599998474121,28.625,9.76666666666667
09,47,26.2339992523193,31.1900005340576,31.7112007141113,28.6443004608154,9.78333333333333
09,48,26.3099994659424,31.0499992370605,31.7900009155273,28.3999996185303,9.8
09,49,26.4699993133545,30.7649993896484,32.0299987792969,28.0998992919922,9.81666666666667
09,50,26.4160003662109,30.8899993896484,32.1599998474121,28.4099998474121,9.83333333333333
09,51,26.2341003417969,31.2399997711182,32.089900970459,28.1550006866455,9.85
09,52,26.1837997436523,31.5900001525879,31.8712997436523,28.4799995422363,9.86666666666667
09,53,26.3950004577637,31.6650009155273,31.9899005889893,28.470100402832,9.88333333333333
09,54,26.2800006866455,31.5811004638672,32.173999786377,28.0452003479004,9.9
09,55,26.3684997558594,31.25,32.3050003051758,28.0949001312256,9.91666666666667
09,56,26.4349994659424,31.3896999359131,32.2599983215332,28.2199993133545,9.93333333333333
09,57,26.5450000762939,31.3500003814697,32.6500015258789,28.2791996002197,9.95
09,58,26.4899997711182,31.109899520874,32.9345016479492,28.4249992370605,9.96666666666667
09,59,26.4500007629395,30.9699993133545,32.9099998474121,28.2709999084473,9.98333333333333
10,00,26.4650001525879,30.7411994934082,32.5400009155273,28.0300006866455,10
10,01,26.5198993682861,31.169900894165,32.7799987792969,27.6298999786377,10.0166666666667
10,02,26.5599994659424,31.0799999237061,32.5999984741211,27.6299991607666,10.0333333333333
